"""""","""%|""",""
"''","'%|'",""
"((","(%|)",""
"/cl","[%|](%clipboard)",""
"<<","<%|>",""
"[]","[%|]",""
"c""","""%clipboard""",""
"c(","(%clipboard)",""
"c<","<%clipboard>",""
"c[","[%clipboard]",""
